,person_1,person_2
0,17703,14001
1,1685,8248
2,15669,16699
3,16654,11904
4,10191,5553
5,17046,14622
6,12389,11032
7,10502,18779
8,9766,18456
9,14312,18095
10,16640,14165
11,16089,18259
12,6418,4265
13,10384,17842
14,17377,15722
15,14415,9575
16,16382,12210
17,3399,7560
18,6383,6220
19,7137,2553
20,6737,955
21,6863,370
22,10897,9558
23,10183,17242
24,1419,8235
25,7569,6624
26,99,8564
27,17708,16093
28,878,2220
29,11041,16586
30,521,1596
31,2259,3660
32,4557,5850
33,17703,6933
34,7515,7695
35,12262,16138
36,11321,11063
37,13033,10074
38,7866,7330
39,10082,7770
40,17457,18569
41,3507,5232
42,8483,2750
43,10063,10494
44,11388,17472
45,3898,4352
46,8066,6012
47,7741,7507
48,13412,12384
49,6390,7408
50,15876,17649
51,4723,9191
52,4256,8960
53,8257,1611
54,2227,1080
55,14743,16319
56,7640,3346
57,13960,10734
58,12285,12485
59,13230,15557
60,270,7776
61,8937,2156
62,9768,12962
63,11016,17462
64,5502,8789
65,1345,4517
66,12955,16711
67,3432,6275
68,10687,10727
69,9543,15231
70,11091,13007
71,11720,9787
72,8084,6293
73,14552,9853
74,15806,14761
75,15600,18569
76,7148,4859
77,8756,2566
78,6787,2651
79,11586,12014
80,12313,15697
81,17542,18337
82,10208,13472
83,107,7645
84,2762,6828
85,10164,13177
86,8376,4051
87,11123,13250
88,2114,6692
89,91,7843
90,12286,18642
91,11189,10061
92,9516,17745
93,1755,4134
94,12157,12683
95,8815,2022
96,17178,14699
97,12329,17252
98,7985,6611
99,17703,8201
100,15997,16147
101,12860,12459
102,7401,785
103,8628,7432
104,17180,15685
105,18227,10282
106,977,5024
107,16654,11729
108,1065,4035
109,10934,9713
110,17745,9628
111,17874,12975
112,2582,6369
113,10584,11249
114,222,293
115,16263,15201
116,193,9043
117,12714,10707
118,1124,5940
119,13115,17737
120,4131,837
121,12226,14689
122,3586,2288
123,9862,13578
124,6911,2858
125,17180,16733
126,8874,6718
127,11244,16116
128,15942,11160
129,8299,2056
130,10303,16653
131,18068,11880
132,11618,9329
133,14684,18446
134,2802,8529
135,12671,9526
136,12870,16606
137,2061,8467
138,6726,2386
139,17963,10390
140,4344,3921
141,10793,14832
142,12610,15168
143,9441,15417
144,15616,17503
145,4931,5500
146,18306,17365
