,person_1,person_2
0,7454,1044
1,15329,14059
2,3324,2956
3,13280,15583
4,12148,14356
5,8704,4324
6,10536,11071
7,7691,6697
8,11884,16503
9,4910,4433
10,15928,16314
11,4581,5237
12,2876,1432
13,9185,23
14,13687,17046
15,8066,8492
16,9430,17622
17,18245,14562
18,11853,10674
19,1327,2062
20,4135,4538
21,2927,2188
22,11246,9445
23,1692,2503
24,6686,3218
25,699,3520
26,13975,15675
27,8929,8100
28,4340,375
29,1886,147
30,18277,12595
31,14699,13009
32,13301,10143
33,18070,13800
34,9466,17785
35,524,2698
36,17299,17947
37,1410,8744
38,810,9143
39,12349,16387
40,4729,1200
41,16985,18641
42,17286,15871
43,18706,18401
44,3530,8126
45,5586,1409
46,702,977
47,7007,4606
48,5537,9084
49,3370,3511
50,12258,15608
51,12872,17497
52,7626,6443
53,16567,17825
54,6945,5414
55,3250,3135
56,8198,3043
57,2373,7644
58,7650,9166
59,13664,17384
60,3422,5797
61,17876,18495
62,14801,11792
63,1340,6744
64,14655,17776
65,11911,14886
66,17402,16211
67,3562,5871
68,8788,6927
69,322,3335
70,17750,10852
71,3159,4695
72,16048,9474
73,8633,850
74,7915,2329
75,2254,7034
76,9961,15527
77,6147,6533
78,16689,12337
79,10853,9996
80,11350,13626
81,14059,11754
82,4234,3650
83,6769,9150
84,9185,3913
85,988,1571
86,8964,3232
87,15150,12676
88,16090,17450
89,9791,17368
90,453,1324
91,8056,6963
92,17889,13562
93,12103,11058
94,5268,944
95,1184,1345
96,12988,13212
97,18638,11893
98,16201,15961
99,15770,14563
100,4171,3763
101,7697,6489
102,10647,15536
103,13966,14715
104,14825,13574
105,3354,6305
106,18317,13433
107,7628,11641
108,4823,5428
109,3656,8903
110,1959,6145
111,4562,3335
112,11462,12261
113,990,8630
114,2375,9081
115,15556,16144
116,2644,5229
117,8732,5547
118,2392,7618
119,6211,5006
120,14741,12715
121,5276,6468
122,8316,1230
123,714,2182
124,14747,16355
125,3378,1664
126,3041,3785
127,15356,9780
128,16954,18173
129,17249,9958
130,12977,17419
131,9973,10286
132,6328,7888
133,9664,16886
134,14242,14445
135,11145,16875
136,7443,5698
137,7348,7157
138,2154,4398
139,15867,18845
140,6676,3470
141,6833,9158
142,7558,8901
143,6093,707
144,3280,323
145,4581,3568
146,15685,11997
147,5765,1912
148,5502,913
149,18573,10058
150,15476,9432
151,9949,10750
152,4117,4749
153,12033,16196
154,2944,8473
155,5382,6242
156,7915,1227
157,4709,6897
158,2187,3491
159,17242,10183
160,4135,3277
161,11789,14970
162,2833,3546
163,3930,2991
164,6442,4840
165,13740,16506
166,14612,13225
167,15484,13666
168,8702,549
169,4947,4761
170,1111,3246
171,8580,7774
172,3928,258
173,14450,11993
174,14434,18270
175,6899,4957
176,5587,3310
177,18637,11082
178,9917,8343
179,17463,11865
180,7528,7505
181,11539,14952
182,18139,12419
183,4922,3022
184,2942,8999
185,8618,882
186,2819,8498
187,2236,4550
188,4678,137
189,7358,6803
190,7686,3454
191,12313,15899
192,6744,3757
193,10227,15036
194,2171,3416
195,3871,3517
196,85,3995
197,2937,470
198,11189,14632
199,15623,17428
200,12000,9661
201,17093,15160
202,2270,7243
203,8633,143
204,9149,6159
205,14731,11478
206,8260,4785
207,17703,1395
208,15856,13554
209,944,1675
210,5096,6255
211,2852,9094
212,2879,8949
213,16152,11983
214,16418,15840
215,4146,5240
216,7461,1580
217,18839,14719
218,1007,4849
219,9740,13269
220,10794,5306
221,5502,5954
222,3339,4267
223,13015,13834
224,2739,6254
225,7316,3040
226,18501,10662
227,7694,7570
228,15487,13987
229,16984,18055
230,2545,6612
231,10267,16813
232,6096,2869
233,14344,10301
234,15793,14845
235,7956,1563
236,13903,15354
237,6687,4403
238,16313,15860
239,9294,3812
240,17489,14474
241,1456,6727
242,17956,15272
243,1787,8016
244,14795,12522
245,17505,9764
246,16606,9583
247,12751,15512
248,5517,1996
249,14912,17597
250,13321,16437
251,16886,12611
252,862,3914
253,10379,17597
254,10680,9489
255,475,9043
256,212,1013
257,4552,1084
258,8805,5764
259,13204,16674
260,7571,7797
261,5407,4623
262,14142,9609
263,12182,15275
264,1127,5861
265,2806,1620
266,8537,3079
267,8357,3402
268,13498,9916
269,2692,3867
270,4182,1715
271,17703,9938
272,15838,17299
273,3590,7040
274,1717,2417
275,10108,11050
276,2959,134
277,12900,10863
278,8189,6223
279,16512,13554
280,15950,12972
281,5118,6539
282,14363,14988
283,10157,13331
284,5580,6437
285,109,124
286,635,33
287,17295,16031
288,7438,7322
289,11090,12011
290,9754,16018
291,17703,7475
292,11777,15079
293,4,741
294,18778,12527
295,11510,16753
296,12026,11976
297,1958,414
298,9479,17594
299,15157,17426
300,14106,12381
301,3941,3642
302,1737,5413
303,12470,15095
304,2670,4009
305,15229,18677
306,16894,11243
307,6796,2420
308,7079,3679
309,12577,18573
310,11224,15554
311,17244,16119
312,10471,15122
313,12805,12400
314,17703,9498
315,15356,16671
316,959,8502
317,3727,7226
318,4738,5581
319,835,1077
320,6780,613
321,11477,12712
322,4896,9036
323,3799,5246
324,7329,4320
325,5107,1235
326,13835,16970
327,1658,2638
328,10721,16528
329,14370,17274
330,14190,18172
331,2761,3741
332,16475,17159
333,11184,18255
334,6734,6898
335,10598,17925
336,18514,9974
337,637,6634
338,2519,1181
339,9116,655
340,15653,14444
341,421,4091
342,2117,9055
343,16786,14707
344,10899,18776
345,6325,4854
346,12517,10561
347,8531,774
348,5850,8285
349,18543,11586
350,16433,9351
351,11149,11428
352,17390,11554
353,13157,15062
354,3040,7828
355,12766,13506
356,6441,5114
357,1038,8757
358,7153,2824
