,person_1,person_2
0,4944,1365
1,9185,4077
2,2833,3684
3,10357,9612
4,5110,5029
5,6916,7755
6,6664,2321
7,5636,4380
8,3586,2231
9,12602,15400
10,7034,1207
11,18814,14367
12,9754,10012
13,18869,12917
14,11154,13691
15,5523,8053
16,8306,9086
17,816,5967
18,4292,7130
19,13281,17350
20,5653,6360
21,11714,11630
22,14445,15270
23,3893,8040
24,1374,7819
25,17132,15665
26,2256,432
27,13282,16317
28,5304,1053
29,15568,10745
30,9016,4263
31,11016,13013
32,17815,13478
33,3950,3478
34,10760,15801
35,2139,2597
36,14667,15126
37,13951,11105
38,3675,476
39,9703,18384
40,14093,15215
41,2894,2314
42,9011,4847
43,15686,14965
44,18517,13177
45,8082,8806
46,14454,16845
47,11592,17086
48,9801,15547
49,13351,11413
50,10963,9641
51,1183,3774
52,8229,8891
53,2607,4802
54,5633,8096
55,5839,3246
56,9801,15892
57,2801,2914
58,12344,12908
59,13702,13110
60,8463,15
61,2598,5189
62,306,17632
63,10429,17288
64,9202,1625
65,11363,12775
66,15503,17955
67,18660,10403
68,14069,10647
69,2895,5384
70,17694,11575
71,15274,14800
72,5814,4319
73,4027,4723
74,4752,4927
75,14657,17241
76,18554,18556
77,7952,8396
78,8948,7163
79,7228,4188
80,1308,573
81,152,7227
82,3452,2740
83,7992,7
84,7303,6361
85,275,1264
86,2959,6743
87,16125,17335
88,17136,12199
89,14378,15725
90,17845,16425
91,5054,2574
92,7807,4500
93,8006,1005
94,3438,103
95,11717,12447
96,955,7567
97,3586,749
98,13549,10425
99,5057,1409
100,4653,2849
101,8115,1851
102,7411,5261
103,16910,17647
104,1848,2416
105,17703,11147
106,15393,14114
107,4799,6924
108,3308,103
109,1105,6423
110,1554,1161
111,14335,10490
112,7964,7220
113,8066,8492
114,17126,14272
115,11531,16737
116,7245,1241
117,9902,16019
118,3406,319
119,16213,10110
120,8539,8741
121,3974,7640
122,4208,8588
123,11551,10970
124,11532,16073
125,15591,13912
126,5456,8497
127,16815,14982
128,8688,8195
129,7886,7463
130,9499,14897
131,13016,13264
132,15339,10485
133,8360,7776
134,3378,3026
135,5367,1170
136,4352,8585
137,12474,14445
138,16175,15375
139,10063,15187
140,3041,6603
141,11028,10537
142,11613,12340
143,7683,1339
144,3548,3311
145,4602,4816
146,12653,17136
147,7934,757
148,9244,2313
149,17465,16976
150,129,8434
151,11912,12718
152,13419,13058
153,15036,15933
154,12462,15957
155,7771,9264
156,2634,1573
157,11446,17381
158,9330,16556
159,17480,14183
160,8335,4185
161,8990,2372
162,18840,12877
163,18472,16589
164,4832,8258
165,18042,12494
166,7932,2650
167,2381,5207
168,3953,7268
169,12242,12990
170,7,2812
171,18271,15837
172,17786,17913
173,17041,12493
174,3428,2632
175,9986,18124
176,3462,1354
177,15376,11297
178,16140,17318
179,238,107
180,17951,10834
181,8370,7270
182,16940,18004
183,12649,10129
184,11718,9924
185,3266,9072
186,1760,8155
187,15476,16957
188,3575,4145
189,5796,8341
190,6559,7580
191,2483,3344
192,11956,16419
193,10821,9536
194,20,7080
195,2581,6985
196,9078,4006
197,18810,16619
198,1603,4536
199,10053,12604
200,12859,16563
201,4235,4908
202,15150,5998
203,14494,13901
204,3147,8315
205,453,51
206,15305,14208
207,14968,17938
208,13690,18004
209,11973,15617
210,1047,2399
211,13544,10121
212,13115,10123
213,16015,12705
214,5160,6510
215,14787,11930
216,8953,4633
217,14077,14263
218,12527,14366
219,18472,11716
220,15434,13026
221,7297,8663
222,13768,16973
223,15453,16755
224,12734,14220
225,3276,6837
226,15631,13082
227,136,1834
228,3157,8690
229,16362,11052
230,13578,12762
231,1973,4062
232,7684,2366
233,14838,11354
234,3064,5612
235,15838,14700
236,1568,1062
237,16116,16767
238,6739,7049
239,14822,10606
240,18874,14645
241,5813,7391
242,5388,7603
243,7474,16843
244,15420,14719
245,6292,3820
246,5842,6845
247,18694,15362
248,8857,2404
249,15770,9719
250,18864,11327
251,7297,3008
252,17218,15335
253,1681,651
254,128,5928
255,15538,17651
256,11843,9625
257,210,4302
258,7761,5408
259,919,6664
260,9672,9343
261,6671,6252
262,15412,17182
263,5624,6919
264,1922,47
265,6676,2249
266,8758,3917
267,1019,1057
268,11162,14335
269,3467,8026
270,14935,17621
271,2886,6635
272,11789,13007
273,13145,11334
274,8304,8462
275,15220,15724
276,14946,10320
277,3419,915
278,3679,4228
279,6699,532
280,4690,202
281,10197,9543
282,2175,8188
283,1068,2137
284,10687,18793
285,5527,4354
286,1133,8059
287,10307,10835
288,8728,3419
289,17584,18100
290,13821,13611
291,5382,4606
292,3735,96
293,3794,4549
294,9629,15284
295,2548,7110
296,11533,11234
297,6430,2794
298,13500,15308
299,15864,13166
300,10386,18241
301,11461,17072
302,2025,7997
303,6950,701
304,9522,16033
305,817,4011
306,14204,10577
307,18126,10306
308,15341,17408
309,17703,10055
310,16463,16345
311,312,1808
312,5208,3367
313,622,657
314,16606,15644
315,7370,1976
316,15387,13041
317,6499,1665
318,13272,14585
319,3671,4350
320,11111,16669
321,5936,1018
322,2437,6450
323,18737,13483
324,775,5542
325,6918,758
326,12315,18538
327,8571,7536
328,14327,10261
329,10828,12124
330,2483,8051
331,845,8109
332,8055,9072
333,13135,18197
334,280,2389
335,1890,5760
336,6054,1157
337,17351,15400
338,13442,5524
339,499,6570
340,8985,955
341,7034,1311
342,12808,17632
343,12430,11324
344,312,6661
345,8544,5074
346,3591,2015
347,873,4217
348,17792,16246
349,13819,15461
350,1651,2685
351,7856,4989
352,3731,7647
353,12221,18318
354,16248,17996
355,5988,2848
356,9961,18362
357,7747,7427
358,2270,15343
359,2959,8709
360,291,2786
361,989,3222
362,7871,4914
363,1373,4010
364,8322,8995
365,13416,13471
366,13487,9489
367,18068,10899
368,9801,15865
369,5822,2168
370,231,7806
371,10884,9931
372,1390,5311
373,4687,2792
374,7164,6680
375,13015,13934
376,8670,2824
377,15,8282
378,17820,10970
379,17393,11829
380,225,2275
381,11326,13585
382,13224,9746
383,1061,6816
384,16320,17653
385,9974,11001
386,1139,4509
387,10369,11852
388,10703,15294
389,5523,5766
390,3585,9095
391,10507,10823
392,12344,13705
393,16486,13175
394,3127,7840
395,7214,4288
396,4188,3073
397,12802,16407
398,3536,1030
399,11644,15092
400,13831,14123
401,4225,9002
402,7331,5166
403,11897,15214
404,16502,10627
405,7584,9081
406,2230,6389
407,2801,2188
408,6093,6440
409,793,6138
410,13027,15079
411,4292,4006
412,6846,3741
413,7940,6195
414,14184,11365
415,1452,4489
416,3743,9183
417,879,1661
418,191,938
419,17546,11402
420,18542,14695
421,4769,3134
422,15235,18757
423,6952,7429
424,17801,15608
425,9184,9318
426,550,4695
427,7572,8793
428,1124,4088
429,11789,15577
430,3479,5874
431,16191,11889
432,16382,10658
433,5872,2722
434,15487,14670
435,4956,9002
436,7740,2799
437,2401,3726
438,11052,17429
439,15037,14338
440,9922,9827
441,5633,7650
442,1487,1256
443,3193,2911
444,15674,17045
445,17162,9602
446,4567,961
447,15150,8367
448,18495,12265
449,1125,6137
450,15951,11235
451,10324,15231
452,18728,13370
453,4370,2630
454,2096,3665
455,89,3966
456,8040,2687
457,6372,7936
458,2981,2903
459,7139,2594
460,7261,7059
461,17004,9504
462,2036,2012
463,7194,8016
464,16538,10703
465,17351,9562
466,2750,1426
467,13025,15088
468,2805,2851
469,1404,7703
470,1744,2813
471,3412,8974
472,7675,5418
473,5127,8583
474,10157,10356
475,16685,14680
476,7316,2946
477,3947,5942
478,11527,18839
479,5898,9308
480,5786,8893
481,13967,15241
482,1422,4606
483,12377,13798
484,13838,11911
485,6569,518
486,12650,12224
487,2903,1594
488,13818,9720
489,4507,98
490,14582,15183
491,5695,8835
492,8269,6575
493,17197,14204
494,13449,10008
495,10062,17530
496,7661,9315
497,6638,8316
498,13537,16440
499,17703,6475
500,8474,7799
501,1601,4998
502,1627,2907
503,520,5527
504,2251,2048
505,13835,11183
506,2051,1751
507,14817,18100
508,17528,10351
509,8070,6032
510,161,7867
511,566,6651
512,1385,5926
513,8144,1144
514,16736,13493
515,2045,8250
516,840,8333
517,9568,13307
518,17220,11945
519,15770,13906
520,9961,15365
521,14370,18719
522,12451,13303
523,13112,18761
524,14563,17324
525,17698,12315
526,17945,13898
527,2296,6584
528,15061,17751
529,9600,13948
530,757,7972
531,11733,10512
532,3605,8927
533,1493,1931
534,17234,15954
535,12096,14931
536,5932,4106
537,7170,7369
538,13216,12681
539,1043,2732
540,11963,11524
541,9147,4062
542,9195,562
543,11933,16980
544,3355,6948
545,16467,11012
546,17104,10818
547,6334,7121
548,11221,17898
549,2244,5237
550,5232,4390
551,11052,12388
552,12389,13464
553,2628,2301
554,943,2100
555,7153,8504
556,16253,17831
557,3062,485
558,6098,9120
559,17602,14863
560,11132,9972
561,5941,9183
562,8465,4528
563,9160,3779
564,12525,15993
565,12170,16150
566,3179,8006
567,14388,11431
568,5476,2854
569,7128,557
570,8434,2254
571,16057,18342
572,3569,8536
573,14831,12712
574,7928,6532
575,1339,5146
576,11373,17994
577,7981,3477
578,15032,11617
579,15814,13475
580,6134,1887
581,1483,7793
582,16125,16876
583,9104,8181
584,8550,8387
585,8339,5189
586,6112,3152
587,15778,15320
588,3110,5295
589,14351,10503
590,2173,7671
591,14906,17686
592,12389,15601
593,1871,2089
594,7271,2775
595,18070,10501
596,6615,13306
597,10602,9382
598,14322,11801
599,7696,595
600,18065,18643
601,17927,10456
602,18240,17074
603,1849,4281
604,12744,16640
605,13476,14573
606,9029,3007
607,14168,12973
608,13975,9410
609,8360,4923
610,734,3725
611,6033,2907
612,18183,10694
613,558,7758
614,3144,6160
615,13013,12258
616,3041,6419
617,14079,18614
618,12553,14032
619,11344,14566
620,3956,2019
621,16332,10663
622,5766,8988
623,16308,12477
624,4593,31
625,97,8893
626,16187,18619
627,17279,11054
628,7613,5906
629,3149,7879
630,7472,184
631,3230,3073
632,1770,4236
633,3708,2656
634,16186,12377
635,6729,4208
636,11611,18631
637,13714,17298
638,11755,11009
639,10143,12676
640,2202,6494
641,15743,14293
642,2230,3693
643,4370,5325
644,3803,6520
645,15905,12318
646,2322,1323
647,13185,11390
648,5717,3038
649,14341,13109
650,1943,6749
651,11030,14009
652,2881,7009
653,17703,5223
654,6705,2107
655,5324,6597
656,17171,10370
657,7801,901
658,14668,12908
659,6974,8612
660,17983,14893
661,13444,17005
662,1619,752
663,7102,7713
664,6782,9136
665,7586,2533
666,18144,12328
667,12393,15577
668,1691,7236
669,9205,5735
670,9210,5533
671,17930,15432
672,10360,17780
673,10023,13611
674,10823,13371
675,16385,17452
676,14104,11168
677,13189,12865
678,16460,14411
679,17839,9991
680,10540,13007
681,10374,17622
682,13550,18434
683,10391,14569
684,4041,2639
685,3657,3743
686,5534,4117
687,11547,11407
688,4128,7076
689,802,3405
690,15664,13970
691,13301,14918
692,13539,9543
693,4663,4864
694,4960,1207
695,3306,340
696,9777,16282
697,12667,14387
698,12006,17608
699,18497,17607
700,7383,7658
701,738,7284
702,3449,6994
703,5996,3084
704,3182,3780
705,5229,8078
706,18211,11130
707,18800,11745
708,14919,12346
709,394,4327
710,18554,17581
711,4084,2553
712,10630,15389
713,3438,5171
714,18379,5787
715,11731,10029
716,9696,16023
717,3325,1877
718,13993,17535
719,17280,15105
720,17542,15928
721,4614,571
722,6576,2153
723,9848,17673
724,15235,15400
725,14909,15482
726,3696,4027
727,6347,7615
728,3231,8902
729,1079,5589
730,7007,5504
731,16695,18157
732,6771,2196
733,4893,123
734,8012,110
735,9210,5599
736,11721,10313
737,280,4765
738,8706,6760
739,4027,3417
740,6093,3405
741,4432,7982
742,12286,18018
743,13575,10849
744,8630,7057
745,453,2440
746,14674,16019
747,18152,15188
748,16150,10446
749,10383,18277
750,2324,6660
751,13664,13744
752,3152,6055
753,12536,16387
754,17703,6407
755,17197,11745
756,9237,2947
757,8144,816
758,288,9151
759,4497,1587
760,13091,11701
761,16570,18153
762,12945,18137
763,8519,3529
764,17024,15020
765,17437,10178
766,9147,4063
767,8805,7389
768,1832,255
769,16467,11295
770,6601,8777
771,18426,10156
772,7880,4261
773,16187,16929
774,6601,4717
775,11485,10627
776,15356,18871
777,17466,15837
778,5618,1333
779,6394,3850
780,6465,3987
781,5311,1330
782,14033,15200
783,8419,6703
784,12356,13299
785,5503,3689
786,589,2581
787,3105,4715
788,14142,12557
789,9449,10383
790,18865,11578
791,19,1354
792,13222,14154
793,7720,3024
794,17874,16280
795,1333,1201
796,1184,2395
797,5304,6730
798,1894,1181
799,12843,9453
800,5380,7264
801,7802,7447
802,17142,14916
803,16560,17848
804,14451,12588
805,6093,5898
806,17782,16500
807,11154,12044
808,17135,10139
809,17218,16640
810,7311,8811
811,11805,11754
812,11954,11659
813,16841,12184
814,13985,11175
815,9890,10271
816,5765,2828
817,12904,11094
818,655,2676
819,972,7668
820,15847,14496
821,9638,18072
822,12948,15307
823,2347,395
824,14593,15188
825,4690,622
826,7273,362
827,12611,12691
828,9450,12544
829,1747,2064
830,7181,83
831,11035,15485
832,18803,17831
833,11379,10265
834,5268,4784
835,10598,11157
836,6432,4091
837,7665,4132
838,6833,2186
839,15049,16000
840,761,4857
841,9146,3556
842,13397,13214
843,17703,6305
844,161,8358
845,10511,11948
846,13198,15572
847,9687,12239
848,4994,3318
849,18708,11231
850,11354,10321
851,7008,7772
852,15671,12020
853,18777,17246
854,7934,3826
855,15961,16045
856,3195,7940
857,17618,10221
858,17226,17135
859,8352,8823
860,6226,1177
861,14619,12616
862,10137,18384
863,11827,12716
864,16502,16053
865,1245,4120
866,13021,13104
867,7409,8743
868,10845,16613
869,4175,6880
870,11891,9840
871,1937,2830
872,3306,4182
873,9118,1731
874,4265,8795
875,11476,10628
876,11373,13167
877,13921,14092
878,10226,16626
879,10957,13484
880,15108,18344
881,18807,9545
882,15906,14199
883,14210,9993
884,10835,13076
885,4552,5132
886,11043,13476
887,13185,18208
888,1458,5763
889,12537,13661
890,7507,5239
891,324,2066
892,10418,12958
893,17323,14468
894,18646,12979
895,5640,6378
896,929,1917
897,11398,10787
898,855,184
899,14077,14396
900,8235,7736
901,5784,8702
902,11879,9763
903,11037,13718
904,803,6465
905,6751,3524
906,1144,692
907,16632,11346
908,14194,10181
909,6634,4612
910,1473,6693
911,9764,18438
912,16433,17661
913,4757,3568
914,14110,12330
915,12014,14978
916,16120,17823
917,16728,10815
918,5790,8789
919,14624,15985
920,14699,17246
921,4957,1307
922,6093,9058
923,16285,11156
924,15867,16820
925,5880,8339
926,12680,11772
927,2418,8041
928,2739,8170
929,4661,4308
930,18288,13111
931,7624,2836
932,17335,18177
933,12591,14812
934,15104,9702
935,18564,14686
936,17899,13524
937,791,1980
938,4190,3485
939,9442,15886
940,9961,17970
941,17733,13127
942,5285,3376
943,8073,1424
944,14829,10501
945,9771,14832
946,6913,7417
947,5532,7082
948,15267,11817
949,10314,14753
950,5237,875
951,16498,12891
952,964,632
953,1149,123
954,8144,9324
955,8597,1456
956,9742,11236
957,14081,10440
958,11988,18092
959,6349,2225
960,1611,6932
961,3437,2223
962,1307,7821
963,13027,18834
964,2721,6484
965,11506,15480
966,12989,16748
967,9210,7092
968,4389,5517
969,18193,13675
970,7546,8170
971,10664,9858
972,14858,9737
973,18064,18364
974,11851,15997
975,5496,8549
976,248,4464
977,8758,4908
978,15715,10281
979,5385,887
980,3636,6800
981,13617,10391
982,17624,12219
983,16804,16210
984,10238,12806
985,12218,15624
986,11935,13032
987,17354,17551
988,2632,1054
989,1691,5561
990,4027,434
991,6641,771
992,17851,17472
993,7149,1098
994,10134,15729
995,15579,18006
996,7138,254
997,5106,6212
998,14812,18390
999,17703,12479
1000,116,655
1001,16904,11013
1002,10322,10502
1003,18283,12886
1004,10372,15059
1005,17576,11413
1006,3545,4990
1007,7457,8633
1008,2000,5318
1009,5909,6168
1010,7590,8261
1011,17171,18430
1012,17703,18195
1013,18324,11059
1014,13596,13655
1015,349,5910
1016,2180,9052
1017,13680,12056
1018,11555,17042
1019,16497,12727
1020,2575,9207
1021,8874,9102
1022,4857,7177
1023,8097,5859
1024,15468,15534
1025,10857,9494
1026,18200,14600
1027,10072,15247
1028,7826,3511
1029,17390,13397
1030,13392,13165
1031,2040,224
1032,1434,245
1033,11575,16703
1034,15224,17910
1035,13175,18192
1036,7277,9270
1037,8633,7066
1038,3792,7111
1039,17698,12768
1040,7700,7237
1041,4933,7057
1042,758,1522
1043,3226,366
1044,467,7567
1045,4370,3660
1046,18246,11242
1047,17446,11853
1048,4539,6016
1049,8066,7945
1050,17861,17904
1051,3635,5775
1052,17494,11438
1053,15310,10618
1054,9720,9763
1055,1730,920
1056,10381,11729
1057,9728,10513
1058,9633,10977
1059,16320,11590
1060,17001,15262
1061,906,4476
1062,11519,17755
1063,4849,8500
1064,17703,2448
1065,9911,12159
1066,5168,7605
1067,17832,13124
1068,17201,15643
1069,2831,6908
1070,14464,3596
1071,18503,12725
1072,17044,15575
1073,3187,8321
1074,11819,6992
1075,11830,18270
1076,3135,6020
