,person_1,person_2
0,6761,21378
1,11503,7721
2,740,126
3,3246,6561
4,12648,12264
5,27589,6762
6,18766,541
7,21483,13412
8,5590,6583
9,6481,6738
10,24937,25132
11,4272,6132
12,5187,18150
13,19719,4176
14,2505,8491
15,10002,1501
16,7294,25303
17,4588,3714
18,26390,29612
19,3038,26104
20,28659,3379
21,18879,16335
22,18846,19260
23,1128,9929
24,26035,24052
25,19178,18725
26,13280,8857
27,11587,3511
28,6804,20045
29,595,25757
30,23247,23922
31,29751,11337
32,26349,22708
33,23378,23797
34,20942,8320
35,23911,2326
36,21607,12170
37,13840,23418
38,8936,4655
39,14045,8865
40,18043,4623
41,12159,4018
42,12655,21704
43,14279,27426
44,1251,6299
45,8865,718
46,5686,4665
47,9689,10988
48,19434,21830
49,18222,21809
50,9624,15819
51,23451,24053
52,1003,27909
53,2688,25680
54,16036,23737
55,14234,4914
56,14529,29884
57,14050,15741
58,29697,16281
59,26818,10776
60,10168,16735
61,20047,5424
62,4912,26027
63,4585,15484
64,827,23590
65,27989,1836
66,12327,28699
67,13105,28933
68,4018,23849
69,13810,26538
70,11559,10400
71,2765,17588
72,12264,5170
73,17511,2668
74,4690,2204
75,26773,2569
76,11983,25324
77,26497,25690
78,10545,25801
79,19515,7932
80,24930,15390
81,3725,1348
82,27281,6011
83,22742,22566
84,2066,9903
85,22308,5601
86,15212,5173
87,7516,2169
88,140,13508
89,17692,23399
90,12356,29656
91,20028,9479
92,5111,14479
93,28382,23887
94,11848,24404
95,24398,27281
96,1128,12779
97,23276,25119
98,28742,19639
99,122,6740
100,7699,19308
101,8276,5953
102,19229,25483
103,26102,25668
104,8703,8215
105,24578,7684
106,27744,3402
107,20592,13492
108,1251,19984
109,8781,19342
110,28209,3204
111,25880,14371
112,8377,3738
113,19988,18123
114,4927,11385
115,79,21466
116,1246,168
117,3187,7319
118,29776,21140
119,20513,24303
120,29118,19864
121,23993,23401
122,9444,21747
123,21797,23245
124,11039,4018
125,2571,15543
126,23020,9283
127,14164,5359
128,21568,3602
129,26441,29752
130,1734,4239
131,16854,13884
132,902,25264
133,5474,5866
134,10002,24650
135,28008,4219
136,26763,6412
137,8091,16200
138,18758,18289
139,16538,4219
140,6349,25136
141,15463,5610
142,1370,20191
143,27967,10897
144,6726,15862
145,19388,6595
146,29701,12479
147,13967,25488
148,12326,21796
149,17934,8578
150,8670,954
151,17985,14274
152,13343,11862
153,1413,16042
154,3433,75
155,9097,25445
156,16883,22604
157,19617,6679
158,342,13573
159,29959,26406
160,9791,10412
161,26988,16614
162,6186,19310
163,18027,5253
164,12778,14339
165,25581,11538
166,9404,2719
167,26499,27398
168,26115,11083
169,24983,27550
170,20083,4219
171,24127,18093
172,28998,2749
173,20348,7039
174,23959,28825
175,11023,8895
176,6310,5847
177,109,3163
178,933,26643
179,26375,6762
180,9609,7377
181,24650,6132
182,1118,6530
183,27249,22357
184,13964,8684
185,14738,452
186,20858,18325
187,14893,17512
188,20995,20914
189,17261,9853
190,21262,9889
191,19498,22253
192,12444,22825
193,17040,3508
194,8667,1458
195,11339,1965
196,18334,12071
197,27295,14846
198,21509,10771
199,19280,895
200,7790,16200
201,28660,21874
202,15458,3830
203,6,28405
204,28933,13854
205,16327,11650
206,24277,2568
207,15079,29265
208,23993,17589
209,29744,2195
210,18084,1003
211,24013,15751
212,3610,7593
213,28565,24625
214,26995,22039
215,9031,15111
216,27242,13238
217,3237,3288
218,9144,18841
219,10233,18270
220,23335,26737
221,12321,16955
222,21701,21107
223,2345,12960
224,23224,24448
225,23639,2009
226,27446,20627
227,13035,16920
228,19134,11320
229,9599,5384
230,8185,11625
231,29615,26658
232,23557,22172
233,28417,27928
234,15543,14888
235,26496,5958
236,27820,18883
237,9485,26662
238,15771,23198
239,19499,24122
240,10184,3566
241,23479,17857
242,9983,20487
243,8320,17444
244,13090,13491
245,4029,6801
246,4396,28341
247,21932,22318
248,25298,23908
249,12728,7455
250,24498,13890
251,11256,14516
252,24923,28727
253,26174,25459
254,26258,12545
255,23930,1550
256,3870,22490
257,20045,4976
258,17117,13875
259,3532,22985
260,19382,7784
261,8750,12985
262,18163,24400
263,7148,4556
264,19516,16527
265,17170,4575
266,20575,10454
267,25657,18294
268,2436,5846
269,18084,4504
270,12779,29830
271,15224,19989
272,15444,24917
273,11652,28745
274,29442,19189
275,21770,2847
276,3859,3209
277,18529,2571
278,13271,8969
279,4055,6501
280,917,13508
281,11303,4650
282,17489,7916
283,28663,1350
284,6530,28305
285,14843,4976
286,29689,1921
287,21000,28860
288,24398,4782
289,5898,7135
290,27066,6530
291,26715,15159
292,22327,2564
293,29082,11503
294,4202,19357
295,16217,28495
296,13840,18777
297,21281,25679
298,5159,256
299,8139,4819
300,390,15087
301,9218,5993
302,22937,21435
303,17781,20217
304,28091,9801
305,5953,9475
306,20028,7455
307,8471,44
308,9095,20942
309,5864,18582
310,1264,26228
311,1505,5893
312,19730,26648
313,11616,16880
314,23400,5411
315,1941,26830
316,15545,10642
317,18627,28725
318,12087,2725
319,4864,12779
320,12648,6116
321,6899,15504
322,12264,2513
323,26318,29044
324,3252,27398
325,19072,17163
326,27442,27295
327,21212,705
328,21768,15448
329,15014,2499
330,15516,10899
331,17099,11644
332,7505,12390
333,419,15212
334,4219,20083
335,6009,881
336,26038,23340
337,13508,8276
338,22779,6356
339,21728,8542
340,19223,26805
341,8959,4585
342,17620,18034
343,16043,23798
344,4178,9478
345,14473,8622
346,26805,16525
347,26454,29469
348,7675,21854
349,25136,6349
350,25928,23277
351,10980,28228
352,28305,8377
353,450,27442
354,6738,4585
355,362,6924
356,2144,17171
357,16474,3997
358,22780,20430
359,20587,3348
360,17577,28908
361,14888,1281
362,17444,23622
363,12320,8987
364,24180,3900
365,28235,29754
366,22142,6053
367,13775,26812
368,10354,16302
369,18448,25483
370,2051,27684
371,20493,3585
372,2621,15212
373,4457,9674
374,27909,22318
375,21680,17293
376,2926,16401
377,19347,7776
378,23741,5411
379,20544,21424
380,796,45
381,1005,4866
382,21744,28607
383,15392,28335
384,15448,15617
385,10044,21242
386,27514,22283
387,8622,12128
388,7453,7185
389,28466,28385
390,29160,10326
391,11418,10507
392,23839,565
393,21648,8308
394,6723,17310
395,8969,5523
396,12989,18393
397,12931,17666
398,28724,4692
399,6160,1653
400,21935,27257
401,19970,11998
402,12101,4358
403,15962,4754
404,6047,8242
405,13910,28415
406,20846,5102
407,2463,9900
408,12648,1332
409,10460,24838
410,20357,2416
411,5211,10545
412,16854,9905
413,27766,18018
414,25608,6561
415,2884,18829
416,8767,8727
417,23317,27820
418,29842,14071
419,29985,14413
420,12537,4255
421,6218,27281
422,28224,12009
423,29602,8482
424,14679,7510
425,15113,24122
426,16738,8858
427,23025,28408
428,7776,25483
429,6957,3912
430,17606,20190
431,6707,24405
432,19320,15725
433,5953,22261
434,22162,12444
435,19995,18803
436,10753,694
437,20153,13563
438,8858,29006
439,13171,1227
440,3218,17284
441,24276,12379
442,9407,8824
443,3027,20245
444,15014,4364
445,7800,13371
446,8617,6545
447,1490,3958
448,17398,26807
449,24087,29469
450,22505,28591
451,4703,25123
452,20053,1181
453,15446,16819
454,2066,79
455,5323,6235
456,2041,24944
