,person_1,person_2
0,28472,24324
1,13342,19106
2,7282,27856
3,12648,11539
4,15377,20285
5,3529,18018
6,19035,7307
7,3071,2652
8,16078,23141
9,19602,11904
10,24960,7047
11,8009,7063
12,20640,5695
13,6845,15990
14,8709,11194
15,12907,12421
16,7086,6530
17,2915,22689
18,12218,29801
19,8611,18113
20,2305,24921
21,2117,27811
22,2621,16854
23,23679,6349
24,10573,17730
25,11278,9839
26,16938,2010
27,12011,8588
28,2711,22055
29,28673,16422
30,11083,6282
31,28835,11159
32,19471,15861
33,14006,11764
34,18657,26440
35,18111,5384
36,15748,16712
37,6481,14846
38,21161,26440
39,2474,12329
40,4954,2429
41,296,13885
42,24340,2272
43,18506,19119
44,4427,17288
45,23993,28945
46,4504,22825
47,839,24483
48,4976,17397
49,5178,7356
50,9233,12874
51,1001,21825
52,2595,9078
53,25187,27241
54,3187,20028
55,10366,15624
56,7214,8091
57,24650,6132
58,20261,8247
59,17523,933
60,4150,22995
61,23454,20954
62,20539,24122
63,3925,12509
64,13286,19198
65,1877,16001
66,20725,9468
67,8223,29917
68,4696,12175
69,4690,11778
70,11650,24577
71,3237,3082
72,3895,14920
73,997,24560
74,12297,24409
75,24846,10776
76,17651,6904
77,2645,20006
78,8308,28173
79,3367,11741
80,989,8790
81,11181,25012
82,6136,2617
83,4585,10980
84,17015,23161
85,11939,17192
86,15448,28926
87,7190,5238
88,10654,26309
89,12734,28587
90,14585,21693
91,20689,21724
92,546,19
93,26887,385
94,10752,5998
95,18739,23877
96,19498,29985
97,15807,9642
98,17580,15926
99,17433,15815
100,4988,19167
101,12011,733
102,17692,22710
103,18771,22708
104,2135,7195
105,2583,17279
106,28914,15461
107,4148,516
108,15966,27484
109,932,19629
110,24398,22869
111,15352,26516
112,12734,10106
113,1407,27451
114,29746,18292
115,2700,11154
116,25844,17444
117,11797,20346
118,6313,8108
119,18951,1081
120,917,6191
121,20591,23406
122,4628,10507
123,28377,4619
124,4648,6993
125,13724,9414
126,5678,25406
127,24787,29469
128,18147,27881
129,22318,27766
130,9295,17753
131,1991,19
132,15115,23227
133,26067,13554
134,29823,8574
135,79,5323
136,24354,12361
137,22833,19753
138,28920,1991
139,13650,21291
140,16443,10418
141,15352,26073
142,15843,17679
143,25786,4272
144,16989,27819
145,27820,29006
146,15551,28457
147,11805,6548
148,10519,5806
149,419,3544
150,4923,19
151,17210,10310
152,4129,13827
153,11666,12893
154,18857,13980
155,7956,7453
156,23236,10484
157,12936,29840
158,18879,7726
159,28806,27917
160,247,13843
161,23875,18730
162,16770,5233
163,9903,29374
164,3911,16335
165,16439,14724
166,25796,9057
167,4044,23687
168,28784,83
169,21507,24809
170,1291,29031
171,9162,6813
172,3924,29831
173,8617,6346
174,26634,21768
175,20995,20914
176,2755,2167
177,12062,6282
178,19785,10341
179,29754,26494
180,23782,7148
181,7373,29697
182,29381,26823
183,6990,3842
184,24534,26899
185,27463,1263
186,4705,4347
187,19232,18431
188,25522,17612
189,22943,15712
190,7516,13884
191,6991,8560
192,17,13133
193,17441,9171
194,13801,6009
195,18654,341
196,21637,2202
197,27967,16797
198,14692,19607
199,26272,26226
200,11757,19977
201,18466,9531
202,21242,15087
203,1304,16297
204,16514,18259
205,7500,22546
206,18844,23063
207,6313,4864
208,8142,20842
209,522,16927
210,4578,23043
211,8475,3586
212,3563,2941
213,15617,15925
214,6313,21693
215,17201,3786
216,5313,10106
217,551,24285
218,17893,10700
219,6313,2621
220,28173,15914
221,24005,6296
222,28126,5323
223,14989,21251
224,26993,17781
225,13932,23415
226,15184,75
227,5258,1258
228,16570,27610
229,12570,16794
230,6423,28021
231,12044,1068
232,11757,26073
233,26249,272
234,24040,1096
235,21236,3468
236,1728,4531
237,26865,17076
238,3738,25732
239,18473,4815
240,22038,21629
241,13146,25819
242,24813,25446
243,3466,15940
244,12940,24626
245,23326,8355
246,3163,25844
247,1991,2571
248,18893,3729
249,21744,27965
250,22093,13560
251,10721,10155
252,1582,5150
253,21302,16445
254,11359,17079
255,18421,23058
256,1417,19661
257,27176,18219
258,1802,28996
259,2051,21106
260,20846,7528
261,7373,6116
262,23987,24731
263,5210,22825
264,13456,2411
265,6345,2725
266,11029,22998
267,3163,23639
268,18899,29466
269,9840,27350
270,16068,2408
271,12009,3246
272,1591,29204
273,8617,20888
274,24398,4219
275,18947,26130
276,21284,27159
277,15682,1818
278,20897,18407
279,8301,1314
280,2197,13963
281,6020,796
282,2052,22921
283,7455,28400
284,12031,21525
285,22199,20008
286,18238,25226
287,5987,6512
288,29238,14254
289,6106,11571
290,4914,27758
291,28523,5627
292,14932,26012
293,17781,11550
294,19564,1078
295,20102,22849
296,22601,1853
297,12674,15278
298,24358,4794
299,22781,28188
300,23084,235
301,2812,1141
302,13687,28085
303,18749,4080
304,17825,25922
305,16013,22477
306,18771,601
307,19498,19081
308,5612,2534
309,9095,24361
310,12734,6160
311,20106,15527
312,26845,24704
313,4648,29339
314,12648,2513
315,24197,12957
316,9995,6461
317,21664,4367
318,14479,17390
319,27909,27020
320,16463,11784
321,12222,21792
322,1591,4367
323,23965,859
324,29908,18893
325,19942,9227
326,28305,4036
327,174,6191
328,10706,26368
329,15324,235
330,13223,4654
331,5313,27176
332,10505,28007
333,22100,169
334,15588,16803
335,12264,14952
336,11371,25983
337,5093,28286
338,8682,10596
339,27062,222
340,4079,22321
341,2635,3712
342,17484,20703
343,7790,2449
344,6762,1653
345,8142,15946
346,22124,16507
347,25712,23848
348,2401,13529
349,24852,14706
350,21466,23418
351,13512,17761
352,29546,5292
353,13342,12668
354,18113,18170
355,6011,7085
356,27,10961
357,1213,7158
358,18084,26249
359,25136,2749
360,20217,29823
361,19507,19114
362,5230,27562
363,7193,4490
364,6762,6218
365,25512,5669
366,2165,29697
367,28003,28716
368,7157,23353
369,23804,17933
370,21064,6993
371,25531,28465
372,13509,21901
373,14712,15514
374,10094,13437
375,19499,18301
376,29433,15477
377,26958,12730
378,591,24740
379,18378,13885
380,12432,14294
381,28051,17699
382,8341,19487
383,13290,7527
384,23031,7319
385,14917,12031
386,28779,15484
387,23434,15997
388,6020,6519
389,9697,23629
390,20531,23100
391,28462,7726
392,2234,23258
393,3689,3163
394,11611,2744
395,3033,271
396,16739,10810
397,23741,5411
398,6481,14642
399,987,24368
400,17718,17209
401,28400,4089
402,718,28228
403,15216,7230
404,23797,28574
405,29197,20682
406,10316,23943
407,4224,25377
408,917,22318
409,5650,22286
410,28173,26805
411,19359,10243
412,2365,29741
413,8654,13739
414,10243,8499
415,19979,4177
416,29823,28400
417,4535,1616
418,12898,12355
419,25470,17805
420,2449,19853
421,4159,17458
422,18301,22726
423,23434,9215
424,28250,10412
425,11060,24981
426,10743,28945
427,14293,13718
428,6345,17433
429,10684,10759
430,3787,8091
431,12000,26420
432,25722,19729
433,24172,27277
434,17502,24536
435,5418,12215
436,13745,4923
437,28320,10318
438,26230,14952
439,13445,16626
440,13181,17131
441,7319,2794
442,21314,23880
443,28363,597
444,18,28933
445,14952,15240
446,7196,7760
447,22918,14712
448,1461,4925
449,4063,5384
450,26625,23025
451,28749,8891
452,26249,20889
453,212,4423
454,12085,25128
455,29180,19362
456,28014,21343
457,419,11234
458,11503,28587
459,20878,13394
460,29533,23838
461,18417,19475
462,1785,14599
463,15149,575
464,14574,9120
465,4199,28207
466,10679,5984
467,15355,10029
468,18873,21923
469,5102,9475
470,289,10705
471,136,3622
472,29435,3974
473,29728,15468
474,10456,7339
475,14119,26231
476,18883,7726
477,12644,16176
478,1233,733
479,28054,28220
480,21498,27460
481,23410,13930
482,29006,3529
483,25182,26645
484,18903,20165
485,3552,5861
486,27061,27715
487,22261,14888
488,14846,28235
489,997,1980
490,3868,14657
491,7910,11702
492,29511,26818
493,7416,21373
494,23679,20028
495,16817,6138
496,11393,26140
497,13801,6015
498,10186,15909
499,8575,11962
500,15361,14615
501,18406,2345
502,27340,5996
503,12455,352
504,2410,99
505,19498,23431
506,8512,1276
507,5255,8156
508,25483,9144
509,29922,12648
510,13897,2261
511,7910,210
512,27203,14180
513,3840,9835
514,14376,13220
515,11136,7675
516,12587,6916
517,10271,16668
518,26914,23939
519,3787,17430
520,18298,24819
521,6313,6022
522,8276,4063
523,20892,1508
524,29754,17633
525,21584,29756
526,8680,16414
527,27966,14671
528,19260,6686
529,140,4864
530,14864,5111
531,2828,2625
532,26256,24137
533,11999,23367
534,26494,21242
535,7214,26993
536,16239,9418
537,10372,18548
538,2066,28663
539,27966,27928
540,26845,14542
541,3585,20342
542,17391,22165
543,13903,19897
544,16538,12568
545,7265,3150
546,19807,25855
547,10290,16857
548,28926,10374
549,28400,10106
550,18018,10272
551,23173,21685
552,24407,6104
553,7157,19978
554,25098,9220
555,5947,24791
556,4782,12568
557,10192,317
558,1339,16115
559,6481,28400
560,28863,22725
561,3582,18367
562,11644,14433
563,511,28814
564,29531,8574
565,26226,25928
566,14535,11362
567,7211,24898
568,12728,27281
569,19335,909
570,22804,10616
571,29823,19853
572,13927,12466
573,6079,19503
574,4504,20889
575,2637,9673
576,20002,19213
577,4099,9006
578,24731,11089
579,3601,11900
580,3373,28806
581,6738,3812
582,20479,21017
583,958,26915
584,5648,2423
585,26753,19309
586,27319,29789
587,6481,5816
588,7699,19646
589,13467,877
590,17781,26494
591,23986,4282
592,7425,23229
593,4916,23741
