,person_1,person_2
0,1580,3631
1,28267,15185
2,109,1093
3,25681,12522
4,14027,7373
5,15900,12557
6,25399,28968
7,2482,18915
8,17716,9058
9,12515,16545
10,18032,23784
11,4864,20083
12,27189,2788
13,1501,4018
14,3679,15147
15,19123,5425
16,8010,15181
17,23173,9931
18,1003,23641
19,9889,6106
20,7373,9791
21,23624,19170
22,26377,29308
23,10988,5411
24,2794,14642
25,8622,14473
26,4592,5446
27,3033,14616
28,10029,5300
29,19646,4600
30,3670,9463
31,27697,11223
32,24960,6494
33,26066,22319
34,29922,25483
35,13132,12668
36,1254,12120
37,18571,13939
38,23515,26423
39,4975,26725
40,28119,24837
41,6947,594
42,25581,19772
43,2503,14421
44,20034,25850
45,10212,5311
46,10466,1069
47,18259,115
48,28286,6475
49,7214,29754
50,12187,3209
51,29973,24361
52,17409,14828
53,26121,22911
54,28313,19875
55,27268,29801
56,1281,18111
57,21571,27895
58,25581,15710
59,18310,2662
60,11655,10561
61,24068,13056
62,13342,8610
63,14952,23179
64,122,23679
65,15702,7613
66,17199,18146
67,2491,4581
68,22343,17975
69,3612,23982
70,25838,27820
71,29283,6383
72,2027,24054
73,8338,5447
74,8709,3768
75,19787,3729
76,895,8610
77,26611,224
78,12768,29027
79,24981,29082
80,1233,25599
81,3477,15126
82,28748,5901
83,5183,15557
84,13254,28042
85,2085,22318
86,23622,16281
87,25653,14045
88,13031,11379
89,25031,25120
90,10776,8108
91,11539,23639
92,23273,29996
93,6640,25590
94,27335,25111
95,916,26422
96,19342,28363
97,3617,11068
98,18876,13003
99,3187,25136
100,13840,29374
101,29779,18593
102,26634,15925
103,7220,18028
104,25387,19162
105,26805,23871
106,17000,17472
107,9599,14888
108,1859,4351
109,2627,17073
110,917,26441
111,22432,9554
112,28267,10557
113,2411,5510
114,13556,19280
115,6347,18443
116,22232,29497
117,13457,11772
118,4535,7595
119,11539,12648
120,6215,12563
121,21659,1264
122,24534,2305
123,21226,29465
124,27014,6261
125,23871,3768
126,19778,21314
127,8330,8236
128,390,12031
129,27640,12927
130,7246,29985
131,25340,28934
132,2142,16725
133,26404,12251
134,55,18453
135,17647,29728
136,11214,22307
137,1281,4063
