,person_1,person_2
0,616,78
1,92,345
2,631,52
3,609,814
4,93,956
5,388,523
6,489,620
7,237,720
8,326,772
9,516,277
10,387,838
11,905,586
12,232,547
13,253,525
14,592,954
15,270,423
16,531,733
17,237,488
18,566,290
19,373,36
20,449,77
21,449,125
22,621,434
23,349,81
24,903,820
25,702,858
26,119,408
27,165,506
28,592,928
29,257,903
30,859,55
31,333,585
32,175,358
33,308,312
34,43,350
35,469,29
36,166,836
37,523,790
38,945,677
39,80,108
40,357,426
41,561,359
42,449,164
43,375,572
44,688,949
45,948,747
46,401,133
47,354,62
48,871,802
49,672,813
50,645,338
51,186,801
52,649,380
53,390,907
54,58,240
55,889,737
56,525,879
57,32,758
58,556,324
59,978,641
60,963,224
61,89,423
62,541,453
63,804,208
64,204,941
65,138,698
66,565,845
67,853,191
68,853,681
69,794,103
70,257,587
71,203,528
72,754,283
73,719,198
74,899,298
75,253,143
76,294,886
77,647,913
78,162,200
79,815,677
80,571,31
81,163,876
82,917,212
83,846,961
84,169,701
85,618,391
86,590,554
87,123,0
88,624,360
89,202,74
90,33,100
91,645,838
92,304,958
93,843,997
94,450,412
95,425,905
96,867,879
97,860,305
98,819,401
99,853,635
100,649,194
101,282,997
102,853,624
103,718,128
104,815,730
105,959,194
106,925,76
107,832,501
108,30,224
109,368,228
110,801,262
111,946,279
112,308,922
113,758,983
114,922,11
115,850,753
116,645,382
117,237,631
118,175,747
119,402,415
120,279,101
121,797,104
122,265,368
123,374,833
124,528,755
125,327,856
126,630,155
127,604,722
128,684,620
129,893,776
130,419,508
131,388,304
132,156,13
133,27,14
134,860,185
135,919,662
136,163,442
137,249,724
138,750,749
139,978,522
140,103,594
141,941,297
142,552,576
143,294,662
144,135,771
145,343,216
146,621,222
147,281,52
148,806,824
149,590,246
150,219,400
151,502,729
152,647,451
153,976,690
154,618,736
155,853,100
156,449,200
157,174,646
158,158,51
159,34,455
160,622,934
161,853,202
162,254,53
163,552,854
164,540,176
165,44,544
166,627,478
167,830,223
168,244,339
169,226,7
170,997,712
171,945,70
172,791,329
173,525,940
174,428,393
175,465,163
176,545,222
177,334,467
178,175,644
179,381,954
180,157,114
181,360,788
182,970,358
183,783,847
184,79,435
185,839,753
186,592,607
187,373,832
188,881,219
189,374,884
190,593,155
191,546,64
192,172,907
193,861,414
194,502,786
195,575,817
196,244,414
197,576,176
198,925,824
199,275,916
200,304,822
201,55,969
202,202,423
203,783,252
204,654,742
205,329,265
206,175,345
207,645,133
208,950,883
209,824,771
210,34,86
211,294,716
212,449,880
213,816,695
214,310,788
215,457,227
216,892,835
217,489,7
218,509,81
219,23,6
220,666,642
221,525,31
222,103,169
223,578,882
224,23,848
225,249,896
226,22,693
227,92,45
228,469,541
229,395,968
230,80,539
231,649,279
232,819,338
233,876,546
234,272,959
235,647,897
236,32,384
237,964,481
238,382,755
239,192,799
240,402,469
241,821,260
242,565,71
243,112,107
244,148,646
245,215,276
246,590,550
247,304,725
248,736,347
249,289,885
250,673,210
251,846,461
252,592,315
253,674,608
254,987,784
255,254,749
256,311,269
257,731,82
258,42,629
259,30,461
260,889,561
261,505,574
262,387,776
263,449,578
264,132,17
265,53,459
266,850,970
267,232,228
268,724,869
269,242,791
270,516,84
271,961,291
272,645,876
273,102,389
274,587,245
275,69,910
276,793,361
277,821,576
278,395,706
279,699,994
280,852,851
281,850,580
282,27,721
283,396,793
284,821,254
285,194,998
286,917,48
287,349,88
288,648,101
289,997,380
290,517,797
291,921,840
292,610,331
293,917,672
294,27,436
295,284,970
296,396,995
297,571,297
298,696,542
299,526,419
300,433,318
301,738,748
302,255,143
303,647,420
304,104,475
305,863,399
306,830,222
307,884,533
308,119,162
309,911,312
310,69,708
311,950,138
312,578,45
313,550,445
314,728,584
315,395,881
316,665,450
317,795,11
318,565,658
319,646,434
320,868,625
321,556,39
322,332,636
323,797,911
324,696,803
325,157,434
326,449,422
327,552,343
328,333,369
329,333,155
330,618,912
331,565,920
332,72,589
333,195,444
334,489,224
335,728,74
336,693,22
337,843,928
338,663,127
339,785,339
340,396,573
341,402,217
342,918,208
343,607,973
344,639,716
345,401,875
346,390,758
347,924,626
348,256,698
349,503,484
350,612,636
351,207,90
352,979,821
353,935,50
354,311,587
355,551,106
356,634,570
357,33,179
358,921,214
359,618,733
360,502,793
361,981,988
362,956,273
363,565,119
364,0,838
365,741,443
366,399,331
367,32,845
368,235,412
369,219,976
370,566,912
371,89,742
372,154,203
373,226,615
374,806,574
375,649,699
376,755,359
377,433,643
378,97,882
379,898,306
380,280,851
381,550,69
382,591,531
383,32,51
384,571,621
385,319,898
386,314,38
387,925,994
388,821,626
389,567,506
390,381,287
391,30,588
392,688,183
393,309,681
394,424,109
395,894,825
396,80,751
397,507,748
398,316,447
399,972,155
400,575,394
401,773,759
402,876,789
403,399,433
404,395,442
405,939,452
406,549,511
407,270,803
408,794,279
409,801,641
410,75,0
411,388,342
412,924,514
413,533,410
414,295,285
415,789,546
416,32,254
417,906,805
418,688,298
