,person_1,person_2
0,106,772
1,705,118
2,92,88
3,915,285
4,73,527
5,655,428
6,897,726
7,254,60
8,748,454
9,961,365
10,903,508
11,815,958
12,863,716
13,58,389
14,449,237
15,390,143
16,956,823
17,310,282
18,402,143
19,388,567
20,688,90
21,575,620
22,616,63
23,575,550
24,395,833
25,247,434
26,174,555
27,294,694
28,541,624
29,876,997
30,607,538
31,649,26
32,351,108
33,967,914
34,700,504
35,868,148
36,649,761
37,976,793
38,734,647
39,467,639
40,806,39
41,996,685
42,970,145
43,507,859
44,876,862
45,592,955
46,381,572
47,188,49
48,349,177
49,927,744
50,854,639
51,852,812
52,188,15
53,926,761
54,59,761
55,645,273
56,77,867
57,256,403
58,308,410
59,469,820
60,846,212
61,436,695
62,73,725
63,178,170
64,970,498
65,96,243
66,766,834
67,119,200
68,390,224
69,706,230
70,208,107
71,457,880
72,783,240
73,634,471
74,244,92
75,190,415
76,264,202
77,712,380
78,28,421
79,240,856
80,23,867
81,664,911
82,292,796
83,265,404
84,823,13
85,552,758
86,876,594
87,737,486
88,417,804
89,292,168
90,112,574
91,175,679
92,71,412
93,996,144
94,667,70
95,88,533
96,107,447
97,147,331
98,951,868
99,863,128
100,981,962
101,738,490
102,311,323
103,936,691
104,507,626
105,870,802
106,728,124
107,803,882
108,284,783
109,18,603
110,979,21
111,184,90
112,853,182
113,614,861
114,538,380
115,801,375
116,95,400
117,924,224
118,428,77
119,247,488
120,73,539
121,815,181
122,417,108
123,402,357
124,502,428
125,145,625
126,603,836
127,77,793
128,850,71
129,801,537
130,688,370
131,649,529
132,572,350
133,551,558
134,489,390
135,72,776
136,682,910
137,612,931
138,112,52
139,92,45
140,197,739
141,885,471
142,83,74
143,859,425
144,387,776
145,815,462
146,449,841
147,310,457
148,240,866
149,782,390
150,333,870
151,244,476
152,952,27
153,5,486
154,240,510
155,237,732
156,158,963
157,580,773
158,138,497
159,741,101
160,478,737
161,611,153
162,741,69
163,93,699
164,526,855
165,381,369
166,36,392
167,334,133
168,680,351
169,649,380
170,30,996
171,801,995
172,272,538
173,972,572
174,191,329
175,897,974
176,507,51
177,924,175
178,817,276
179,591,875
180,469,854
181,85,920
182,826,797
183,156,149
184,387,16
185,853,380
186,549,854
187,62,354
188,899,879
189,77,326
190,556,336
191,947,681
192,311,632
193,797,922
194,96,166
195,724,572
196,173,970
197,409,9
198,979,627
199,326,772
200,281,185
201,850,696
202,614,866
203,180,405
204,895,467
205,591,801
206,741,265
207,735,847
208,734,576
209,551,867
210,906,868
211,437,482
212,240,777
213,932,366
214,398,405
215,314,55
216,25,38
217,536,116
218,863,412
219,457,298
220,645,520
221,856,267
222,674,941
223,44,83
224,856,584
225,713,892
226,947,712
227,80,57
228,594,712
229,889,701
230,664,77
231,398,193
232,893,401
233,600,79
234,567,107
235,409,872
236,961,335
237,184,654
238,310,880
239,918,109
240,556,407
241,419,127
242,595,809
243,447,260
244,360,101
245,607,401
246,556,69
247,139,193
248,551,106
249,674,622
250,566,428
251,684,949
252,654,888
253,287,495
254,939,516
255,381,779
256,80,986
257,110,945
258,646,958
259,388,506
260,503,223
261,253,376
262,381,593
263,579,256
264,591,513
265,169,537
266,645,289
267,588,856
268,204,185
269,899,461
270,449,422
271,782,56
272,747,866
273,206,16
274,797,11
275,409,147
276,591,69
277,741,997
278,513,607
279,565,825
280,810,632
281,924,805
282,850,426
283,263,215
284,644,115
285,649,445
286,533,523
287,357,698
288,647,897
289,803,179
290,478,949
291,604,230
292,147,437
293,103,457
294,43,168
295,660,359
296,738,2
297,946,685
298,748,486
299,565,409
300,310,287
301,702,337
302,198,699
303,884,116
304,381,308
305,667,57
306,219,760
307,249,795
308,561,532
309,226,343
310,587,421
311,973,338
312,192,214
313,819,588
314,213,360
315,595,667
316,449,149
317,556,82
318,923,369
319,957,325
320,564,403
321,575,851
322,827,822
323,654,426
324,596,382
325,645,876
326,226,70
327,169,61
328,503,628
329,310,360
330,465,742
331,103,699
332,169,798
333,367,475
334,225,222
335,550,90
336,229,623
337,92,244
338,739,194
339,715,430
340,294,125
341,799,651
342,565,643
343,411,716
344,27,155
345,924,595
346,509,778
347,75,520
348,449,358
349,516,766
350,819,76
351,613,155
352,607,660
353,213,380
354,633,441
355,112,919
356,552,986
357,95,340
358,795,296
359,59,739
360,424,107
361,131,994
362,82,755
363,190,253
364,987,441
365,705,428
366,343,53
367,242,791
368,56,7
369,903,619
370,461,316
371,916,165
372,512,457
373,555,692
374,40,612
375,108,521
376,502,312
377,688,150
378,131,603
379,778,200
380,815,615
381,556,607
382,5,42
383,437,955
384,780,879
385,806,508
386,950,884
387,921,778
388,616,1
389,881,572
390,236,969
391,264,891
392,157,873
393,154,485
394,353,534
395,590,823
396,550,261
397,172,884
398,591,537
399,730,402
400,502,816
401,921,904
402,122,337
403,444,980
404,357,830
405,941,510
406,139,821
407,268,277
408,247,903
409,668,371
410,219,396
411,346,503
412,830,136
413,773,283
414,134,791
415,163,396
416,950,125
417,859,22
418,311,67
419,503,574
420,235,941
421,556,201
422,357,639
423,567,726
424,976,760
425,565,353
426,738,239
427,88,742
